62,62,62,64,62,62,62,64,62,62,62,64,62,62,62,64,62,62,62,64,62,62,62,64,62,62,62,64,62,62,62,64
63,63,63,64,63,63,63,64,63,63,63,64,63,63,63,64,63,63,63,64,63,63,63,64,63,63,63,64,63,63,63,64
31,31,31,64,31,31,31,64,31,31,31,64,31,31,31,64,31,31,31,64,31,31,31,64,31,31,31,64,31,31,31,64
39,39,47,74,39,47,39,74,39,39,39,74,39,39,39,74,39,39,47,74,47,39,39,74,39,47,39,74,39,39,39,74
3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,5,3,4,5,4,3,4,5,4
11,12,13,12,11,12,13,12,11,12,13,12,11,12,13,12,11,12,13,12,11,12,13,13,11,12,13,12,11,12,13,12
50,20,48,49,19,20,21,49,19,20,21,49,19,20,21,49,19,20,21,49,19,20,21,49,19,20,21,49,19,20,21,49
69,28,67,68,27,28,29,68,27,28,29,68,27,28,29,68,27,28,29,68,27,28,29,68,27,28,29,68,27,28,29,68
69,36,67,68,35,36,37,68,35,36,37,68,35,36,37,68,35,36,37,68,35,36,37,68,35,36,37,68,35,36,37,68
69,44,67,68,35,36,37,68,35,36,37,68,35,36,37,68,35,36,37,68,35,36,37,68,35,36,37,68,35,36,37,68
69,25,67,68,43,44,45,68,43,44,45,68,43,44,45,68,43,44,45,68,43,44,45,68,43,44,45,68,43,44,45,68
77,33,75,76,51,52,53,76,51,52,53,76,51,52,53,76,51,52,53,76,51,73,53,76,51,52,53,76,51,52,53,76
3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4
11,12,13,12,11,12,13,12,11,12,13,12,11,12,13,12,11,12,13,12,11,12,13,12,11,12,13,12,11,12,13,12
48,49,50,28,48,49,50,8,9,9,9,17,17,9,9,9,9,17,9,10,48,49,50,28,48,49,50,28,48,49,50,28
